vocab_word,baseline_prompt,boost_coefficient,mechanics_philip,semantics_philip,context_philip,mechanics_emilie,semantics_emilie,context_emilie,mechanics_andy,semantics_andy,context_andy,mechanics_william,semantics_william,context_william
provoking,The artist's bold and unapologetic depiction of social inequality in her latest sculpture was provoking heated debates and passionate discussions among museum visitors.,0,5,5,5,5,5,5,5,5,5,5,5,4
hatch,The tiny bird began to stir and then suddenly emerged from its egg as the mother bird gently nudged it to hatch.,0,5,5,5,5,5,4,5,5,5,5,5,5
jesuit,The Jesuit priest's passion for education led him to establish a network of schools and universities that would eventually become some of the most prestigious institutions in the world.,0,5,4,2,5,4,1,5,5,5,5,5,3
acquiescence,"The company's acquiescence to the union's demands was met with a mixture of relief and skepticism from the employees, who wondered if it would truly lead to the changes they had been fighting for.",0,5,5,4,5,4,4,5,5,5,5,5,5
unscrupulously,"The wealthy businessman was accused of unscrupulous tactics in his campaign to acquire a majority stake in the struggling company, including secretly buying up shares from small investors at below-market prices.",0,5,5,4,5,4,4,5,5,5,5,5,5
ovulate,"Women who are trying to conceive often track their menstrual cycles to determine when they will ovulate, which is typically 14 days before the start of their next period.",0,5,5,4,5,5,4,5,5,5,5,5,4
mingle,"As the party guests began to mingle, the room filled with the sound of laughter and clinking glasses.",0,5,5,5,5,5,4,5,5,5,5,5,4
runup,"The surfers timed their runup to coincide with the incoming wave, sprinting towards the shore as the water began to churn and foam.",0,5,5,4,5,4,5,5,5,5,5,5,4
premium,"The luxury car dealership offered a premium package that included a free upgrade to a high-performance engine, leather interior, and a state-of-the-art sound system.",0,5,5,5,5,5,5,5,5,5,5,5,5
premium,"The luxury car dealership offered a premium package that included leather seats, a state-of-the-art sound system, and a complimentary maintenance plan for the first year.",0,5,5,5,5,5,4,5,5,5,5,5,5
circus,"As the sun began to set, the colorful circus arrived in town, its big top tent unfolding like a giant flower, and the sound of lively music and chatter filled the air.",0,5,5,4,5,4,3,5,4,4,5,5,5
circus,The colorful tents and lively music drew a crowd to the circus that had arrived in town for a two-week engagement.,0,5,5,3,5,4,3,5,5,5,5,5,5
put,She carefully put the fragile vase on the shelf to prevent it from breaking.,0,5,5,5,5,5,2,5,4,5,5,5,5
put,She carefully put the fragile vase on the top shelf to prevent it from breaking.,0,5,5,4,5,5,2,5,4,5,5,5,5
calmly,"As the storm raged outside, she calmly sipped her tea and read a book by the window.",0,5,5,5,5,5,3,5,5,3,5,5,3
boyishly,"As he bounded into the room, his boyishly enthusiastic grin and springy step made him seem like a carefree college freshman again, not a 30-year-old husband and father.",0,5,5,5,5,5,5,5,5,5,5,5,5
feebly,"The old man's voice rose feebly from the couch as he tried to call for help, but it was barely audible over the sound of the television.",0,5,5,5,4,4,4,5,5,5,5,5,5
calorifacient,"The engineer designed a new type of insulation that was highly calorifacients, allowing it to efficiently retain the heat from the solar panels on the rooftop.",0,5,4,3,5,4,4,4,3,1,4,4,1
indolently,"As the sun beat down on the beach, Alex lay indolently on her towel, her eyes drifting lazily from the waves to the seagulls overhead.",0,5,4,3,4,4,4,5,5,5,5,5,5
dynamite,"The construction crew carefully planted the dynamite at the base of the old building, preparing for the implosion that would bring it crashing down.",0,5,5,5,5,5,5,5,5,5,5,5,5
provoking,"The artist's new installation was provoking a lot of different reactions from the public, with some people admiring its bold use of color and others being put off by its disturbing imagery.",4,5,5,5,5,5,4,5,5,5,5,5,4
